Player,GP,MIN,FG,3FG,FT,OR,TR,AST,TO,STL,BLK,PF,PTS,Rating,Win %,PD,MVP Votes
Diderick Semmelrath,0.7727272727272727,31.4,5.7,0.2,1.1,1.4,6.8,2.6,1.3,1.1,0.4,1.0,12.8,16.6,0.773,596.0,0
Heikki Pang,0.9545454545454546,33.1,5.1,0.1,2.4,0.7,3.0,3.3,1.5,1.3,0.2,2.1,12.8,12.6,0.591,163.0,0
Franck Gillet,1.0,38.7,9.4,2.9,2.9,0.7,2.6,3.4,0.9,1.5,0.1,1.3,24.5,18.3,0.682,249.0,4
Ty Tracy,0.8181818181818182,36.8,9.6,1.7,2.6,1.1,3.8,3.2,1.1,1.6,0.2,3.5,23.4,16.8,0.409,-90.0,0
Vladimir StankoviÄ,0.6818181818181818,41.2,8.7,1.3,3.1,1.7,5.5,2.7,1.3,0.9,0.3,2.5,21.9,14.6,0.136,-536.0,0
Arthur Glass,1.0,34.4,7.7,2.3,2.2,0.7,2.8,3.5,1.1,1.2,0.0,1.2,19.9,16.9,0.682,249.0,0
Ben Schilling,1.0,36.7,8.0,0.5,2.7,2.7,12.2,1.1,2.0,0.7,0.5,3.0,19.1,16.2,0.773,442.0,26
Gytis Baleckas,1.0,33.8,8.1,0.5,2.2,1.7,7.0,3.5,0.6,1.2,0.4,1.0,18.9,15.9,0.682,529.0,60
Marcellus Lilly,0.8636363636363636,33.0,7.4,0.8,2.7,1.4,8.1,2.5,0.7,1.0,0.9,2.1,18.4,15.9,0.409,-37.0,0
Michele Bello,0.9090909090909091,32.0,8.2,0.2,1.8,3.9,13.2,2.8,1.4,0.4,0.5,2.4,18.4,18.1,0.545,105.0,0
Celerino Magno,1.0,35.5,7.8,0.1,2.4,3.2,13.1,0.7,1.3,0.7,0.9,1.2,18.2,16.9,0.682,529.0,92
Gary Acker,0.9545454545454546,33.5,7.5,0.4,2.3,3.3,13.7,2.4,1.0,1.1,0.7,1.9,17.6,18.7,0.8640000000000001,460.0,190
Jan Kujtkowski,1.0,33.7,7.6,0.5,1.8,3.0,10.8,3.5,1.0,0.6,0.3,1.4,17.5,16.5,0.5,297.0,19
